customer_id,lookalikes
C0001,"[('C0152', 0.9956380442245022), ('C0174', 0.9802181950641694), ('C0011', 0.972929438080781)]"
C0002,"[('C0134', 0.9750453512924522), ('C0159', 0.9688177160187531), ('C0007', 0.9686672669275754)]"
C0003,"[('C0052', 0.9977326815218118), ('C0031', 0.9839831585834868), ('C0129', 0.9775793098498416)]"
C0004,"[('C0102', 0.9907550877482032), ('C0113', 0.9851688605216886), ('C0108', 0.9838714443083495)]"
C0005,"[('C0159', 0.9999175422070407), ('C0007', 0.9915362520817125), ('C0027', 0.9783132725194574)]"
C0006,"[('C0187', 0.9334908446526485), ('C0137', 0.933219565803663), ('C0003', 0.9133037939169321)]"
C0007,"[('C0159', 0.9930271713508428), ('C0005', 0.9915362520817125), ('C0027', 0.9752112150494827)]"
C0008,"[('C0024', 0.9092422147489984), ('C0194', 0.9011224892309642), ('C0098', 0.8971431084725967)]"
C0009,"[('C0121', 0.9850757091960851), ('C0197', 0.9624243080147221), ('C0063', 0.9619781577493933)]"
C0010,"[('C0199', 0.9981710448382297), ('C0062', 0.9841154257210523), ('C0132', 0.9798613281133984)]"
C0011,"[('C0107', 0.9957888186900777), ('C0001', 0.972929438080781), ('C0174', 0.9716800826828128)]"
C0012,"[('C0013', 0.9827984057360264), ('C0126', 0.962517555714715), ('C0039', 0.9570604255018407)]"
C0013,"[('C0087', 0.9931702242270335), ('C0012', 0.9827984057360264), ('C0126', 0.9457838108938815)]"
C0014,"[('C0063', 0.982081760699937), ('C0089', 0.933673274304207), ('C0009', 0.9279801946823161)]"
C0015,"[('C0058', 0.9891453370636248), ('C0020', 0.9770627989042152), ('C0033', 0.9666922868561638)]"
C0016,"[('C0183', 0.9996021858756886), ('C0026', 0.9647320704999548), ('C0189', 0.9525623374836699)]"
C0017,"[('C0051', 0.9632843829773027), ('C0075', 0.9472010153458345), ('C0041', 0.9431219902299877)]"
C0018,"[('C0117', 0.9698334930480127), ('C0154', 0.957168800900388), ('C0183', 0.9415942415247626)]"
C0019,"[('C0086', 0.9568934000637773), ('C0164', 0.9349852987944025), ('C0103', 0.9330359179398935)]"
C0020,"[('C0033', 0.9935941104453915), ('C0058', 0.9882520345355591), ('C0144', 0.9835063352034371)]"
